Predictions of after result announcement
Records,Average,Rate
27,0.777,12.962000000000002%
Time,Number1,Number2,Number3,Number4,Number5,Number6,Matches
1719,8,13,21,30,36,43,0
1717,9,13,16,17,25,39,0
1715,2,8,14,17,28,38,1
1714,7,10,11,13,19,22,1
1713,6,13,16,18,19,34,1
1712,5,10,16,22,29,31,1
1711,6,17,19,26,34,39,1
1709,7,10,22,26,31,43,2
1707,8,10,11,21,32,36,1
1705,9,15,19,24,37,41,3
1704,1,9,10,15,23,40,2
1701,1,19,21,28,30,38,1
1699,10,19,27,28,34,41,1
1697,9,19,20,37,38,43,0
1694,7,20,22,27,28,39,0
1692,7,20,22,27,28,39,0
1688,3,12,15,19,22,43,0
1683,2,14,25,33,37,38,0
1682,8,14,20,27,37,41,1
1681,6,7,16,24,33,40,1
1680,7,8,11,19,29,43,2
1677,11,17,19,32,36,40,1
1674,2,9,14,15,24,42,1
1668,4,20,26,33,35,39,0
1664,5,15,18,29,34,43,0
1662,5,10,13,29,31,41,0
1656,10,17,18,32,34,43,0
